danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.706,0.806,2,-5.881,1,0.0653,0.05,0.0,0.0663,0.395,106.016,audio_features,5GIp3XwoMW9bbdUvGB2ydO,spotify:track:5GIp3XwoMW9bbdUvGB2ydO,https://api.spotify.com/v1/tracks/5GIp3XwoMW9bbdUvGB2ydO,https://api.spotify.com/v1/audio-analysis/5GIp3XwoMW9bbdUvGB2ydO,254119,4
0.571,0.424,5,-11.109,0,0.0368,0.771,0.881,0.111,0.502,79.956,audio_features,6gJyJsLvGVCQane5HVV9rC,spotify:track:6gJyJsLvGVCQane5HVV9rC,https://api.spotify.com/v1/tracks/6gJyJsLvGVCQane5HVV9rC,https://api.spotify.com/v1/audio-analysis/6gJyJsLvGVCQane5HVV9rC,163747,4
0.504,0.327,1,-14.356,1,0.028,0.815,0.806,0.106,0.295,106.634,audio_features,4CBgZADuEkNtDxM4PmOLIT,spotify:track:4CBgZADuEkNtDxM4PmOLIT,https://api.spotify.com/v1/tracks/4CBgZADuEkNtDxM4PmOLIT,https://api.spotify.com/v1/audio-analysis/4CBgZADuEkNtDxM4PmOLIT,251655,1
0.873,0.465,0,-13.251,1,0.213,0.157,8.74e-06,0.0747,0.268,147.972,audio_features,7BIMADlBX1ADOEsKxkz994,spotify:track:7BIMADlBX1ADOEsKxkz994,https://api.spotify.com/v1/tracks/7BIMADlBX1ADOEsKxkz994,https://api.spotify.com/v1/audio-analysis/7BIMADlBX1ADOEsKxkz994,248738,4
0.252,0.86,6,-4.096,1,0.0979,0.0547,0.0,0.341,0.364,206.788,audio_features,73r3AUpnmyFqMGKxSQY1SS,spotify:track:73r3AUpnmyFqMGKxSQY1SS,https://api.spotify.com/v1/tracks/73r3AUpnmyFqMGKxSQY1SS,https://api.spotify.com/v1/audio-analysis/73r3AUpnmyFqMGKxSQY1SS,322093,4
0.81,0.614,7,-6.341,1,0.0325,0.0916,0.000186,0.0292,0.91,137.908,audio_features,4kTQxoBBlce8fMnDAED8Le,spotify:track:4kTQxoBBlce8fMnDAED8Le,https://api.spotify.com/v1/tracks/4kTQxoBBlce8fMnDAED8Le,https://api.spotify.com/v1/audio-analysis/4kTQxoBBlce8fMnDAED8Le,286720,4
0.415,0.809,5,-5.34,0,0.154,0.0675,0.00778,0.0839,0.56,127.921,audio_features,73jTe9GuDYVLQ2UT07UXSh,spotify:track:73jTe9GuDYVLQ2UT07UXSh,https://api.spotify.com/v1/tracks/73jTe9GuDYVLQ2UT07UXSh,https://api.spotify.com/v1/audio-analysis/73jTe9GuDYVLQ2UT07UXSh,225933,4
0.451,0.745,10,-6.462,1,0.0295,0.37,0.0,0.222,0.396,160.008,audio_features,3ri3q7od1CPi8OlHkNX4RF,spotify:track:3ri3q7od1CPi8OlHkNX4RF,https://api.spotify.com/v1/tracks/3ri3q7od1CPi8OlHkNX4RF,https://api.spotify.com/v1/audio-analysis/3ri3q7od1CPi8OlHkNX4RF,268413,4
0.688,0.758,4,-7.868,1,0.0298,0.02,0.0,0.304,0.413,105.003,audio_features,5WevaeqhU2MEz3Tpco5sfB,spotify:track:5WevaeqhU2MEz3Tpco5sfB,https://api.spotify.com/v1/tracks/5WevaeqhU2MEz3Tpco5sfB,https://api.spotify.com/v1/audio-analysis/5WevaeqhU2MEz3Tpco5sfB,239307,4
0.623,0.505,0,-12.736,1,0.0294,0.308,0.0,0.261,0.817,110.983,audio_features,01LHmbTALqwnoGWT3gZPYH,spotify:track:01LHmbTALqwnoGWT3gZPYH,https://api.spotify.com/v1/tracks/01LHmbTALqwnoGWT3gZPYH,https://api.spotify.com/v1/audio-analysis/01LHmbTALqwnoGWT3gZPYH,177800,4
