danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.552,0.964,5,-4.212,1,0.118,0.169,0.0,0.941,0.645,128.808,audio_features,4oJCjdm16vwIdjjEOhkk8J,spotify:track:4oJCjdm16vwIdjjEOhkk8J,https://api.spotify.com/v1/tracks/4oJCjdm16vwIdjjEOhkk8J,https://api.spotify.com/v1/audio-analysis/4oJCjdm16vwIdjjEOhkk8J,244107,4
0.658,0.711,8,-10.101,0,0.0822,0.566,0.00967,0.0893,0.884,95.595,audio_features,6xwK6qo0HQ6frRCgquMFsh,spotify:track:6xwK6qo0HQ6frRCgquMFsh,https://api.spotify.com/v1/tracks/6xwK6qo0HQ6frRCgquMFsh,https://api.spotify.com/v1/audio-analysis/6xwK6qo0HQ6frRCgquMFsh,141733,4
0.672,0.555,11,-7.177,0,0.0604,0.0643,9.3e-06,0.147,0.641,97.128,audio_features,3e07MqXeRJddFuiTO7rADr,spotify:track:3e07MqXeRJddFuiTO7rADr,https://api.spotify.com/v1/tracks/3e07MqXeRJddFuiTO7rADr,https://api.spotify.com/v1/audio-analysis/3e07MqXeRJddFuiTO7rADr,254347,4
0.694,0.386,8,-14.47,0,0.0338,0.703,0.00135,0.0694,0.468,126.382,audio_features,2xRgzDEtR2eBz5dTgMvIpx,spotify:track:2xRgzDEtR2eBz5dTgMvIpx,https://api.spotify.com/v1/tracks/2xRgzDEtR2eBz5dTgMvIpx,https://api.spotify.com/v1/audio-analysis/2xRgzDEtR2eBz5dTgMvIpx,315440,4
0.648,0.537,7,-6.376,1,0.0364,0.0793,1.31e-05,0.45,0.978,140.121,audio_features,3WAmQiYrwDqItWpCBPh40k,spotify:track:3WAmQiYrwDqItWpCBPh40k,https://api.spotify.com/v1/tracks/3WAmQiYrwDqItWpCBPh40k,https://api.spotify.com/v1/audio-analysis/3WAmQiYrwDqItWpCBPh40k,205587,4
0.413,0.53,3,-7.389,1,0.0326,0.472,1.31e-06,0.158,0.149,138.68,audio_features,5kxol5m6MfiJgahqyzbDRH,spotify:track:5kxol5m6MfiJgahqyzbDRH,https://api.spotify.com/v1/tracks/5kxol5m6MfiJgahqyzbDRH,https://api.spotify.com/v1/audio-analysis/5kxol5m6MfiJgahqyzbDRH,289867,4
0.287,0.763,1,-8.385,0,0.0747,0.0198,0.0,0.555,0.404,129.949,audio_features,5Z1WO74ADQwZnFbERV9caa,spotify:track:5Z1WO74ADQwZnFbERV9caa,https://api.spotify.com/v1/tracks/5Z1WO74ADQwZnFbERV9caa,https://api.spotify.com/v1/audio-analysis/5Z1WO74ADQwZnFbERV9caa,232701,4
0.54,0.83,4,-4.997,0,0.0348,0.151,2.8e-06,0.589,0.553,112.469,audio_features,2dgjjOdz8qnGXLos9xbNNV,spotify:track:2dgjjOdz8qnGXLos9xbNNV,https://api.spotify.com/v1/tracks/2dgjjOdz8qnGXLos9xbNNV,https://api.spotify.com/v1/audio-analysis/2dgjjOdz8qnGXLos9xbNNV,250067,4
0.532,0.935,2,-3.126,1,0.0686,0.00644,0.0,0.11,0.662,139.887,audio_features,5eIsMbKPT1IJ0b0rdvgtlZ,spotify:track:5eIsMbKPT1IJ0b0rdvgtlZ,https://api.spotify.com/v1/tracks/5eIsMbKPT1IJ0b0rdvgtlZ,https://api.spotify.com/v1/audio-analysis/5eIsMbKPT1IJ0b0rdvgtlZ,225373,4
0.462,0.636,7,-9.536,1,0.0368,0.553,0.921,0.231,0.277,151.046,audio_features,243oJi7qbqgMQ97fMDXZwY,spotify:track:243oJi7qbqgMQ97fMDXZwY,https://api.spotify.com/v1/tracks/243oJi7qbqgMQ97fMDXZwY,https://api.spotify.com/v1/audio-analysis/243oJi7qbqgMQ97fMDXZwY,406360,4
0.589,0.581,9,-11.608,1,0.0306,0.0162,0.0145,0.128,0.834,122.576,audio_features,6JCkmtc6yDQW1w8jh3iFqS,spotify:track:6JCkmtc6yDQW1w8jh3iFqS,https://api.spotify.com/v1/tracks/6JCkmtc6yDQW1w8jh3iFqS,https://api.spotify.com/v1/audio-analysis/6JCkmtc6yDQW1w8jh3iFqS,315867,4
0.285,0.954,0,-6.106,0,0.0713,0.0125,0.477,0.132,0.387,148.084,audio_features,5Hfo4j3E3jYSSFDIjvZDwB,spotify:track:5Hfo4j3E3jYSSFDIjvZDwB,https://api.spotify.com/v1/tracks/5Hfo4j3E3jYSSFDIjvZDwB,https://api.spotify.com/v1/audio-analysis/5Hfo4j3E3jYSSFDIjvZDwB,227293,4
0.628,0.888,10,-11.311,0,0.0359,0.0378,0.401,0.838,0.888,127.686,audio_features,3kKa6jshpLfxKW9GOb3IXK,spotify:track:3kKa6jshpLfxKW9GOb3IXK,https://api.spotify.com/v1/tracks/3kKa6jshpLfxKW9GOb3IXK,https://api.spotify.com/v1/audio-analysis/3kKa6jshpLfxKW9GOb3IXK,347866,4
0.609,0.816,0,-7.781,1,0.027,0.00542,0.233,0.199,0.906,131.875,audio_features,2PD0sytEc9yqb2dUH13EYD,spotify:track:2PD0sytEc9yqb2dUH13EYD,https://api.spotify.com/v1/tracks/2PD0sytEc9yqb2dUH13EYD,https://api.spotify.com/v1/audio-analysis/2PD0sytEc9yqb2dUH13EYD,238013,4
0.402,0.555,0,-6.949,1,0.0275,0.000489,0.606,0.11,0.497,108.532,audio_features,4JfFbHwmdhaPXW9hUCVhkM,spotify:track:4JfFbHwmdhaPXW9hUCVhkM,https://api.spotify.com/v1/tracks/4JfFbHwmdhaPXW9hUCVhkM,https://api.spotify.com/v1/audio-analysis/4JfFbHwmdhaPXW9hUCVhkM,305333,4
0.277,0.7,4,-7.559,0,0.0419,9.91e-06,0.826,0.699,0.401,94.121,audio_features,3TTUaDSo1j0mNyC3kolomX,spotify:track:3TTUaDSo1j0mNyC3kolomX,https://api.spotify.com/v1/tracks/3TTUaDSo1j0mNyC3kolomX,https://api.spotify.com/v1/audio-analysis/3TTUaDSo1j0mNyC3kolomX,115667,4
0.398,0.981,6,-4.855,0,0.165,0.000409,0.000281,0.129,0.226,160.225,audio_features,3M2LLIKDLRpLRUwgFZnGLg,spotify:track:3M2LLIKDLRpLRUwgFZnGLg,https://api.spotify.com/v1/tracks/3M2LLIKDLRpLRUwgFZnGLg,https://api.spotify.com/v1/audio-analysis/3M2LLIKDLRpLRUwgFZnGLg,261987,4
0.402,0.846,11,-2.908,1,0.037,0.00374,0.000225,0.117,0.543,149.609,audio_features,2TbDmhGEeVtPtz0Quir0sq,spotify:track:2TbDmhGEeVtPtz0Quir0sq,https://api.spotify.com/v1/tracks/2TbDmhGEeVtPtz0Quir0sq,https://api.spotify.com/v1/audio-analysis/2TbDmhGEeVtPtz0Quir0sq,149507,4
0.381,0.506,4,-15.094,1,0.0468,0.00611,0.846,0.535,0.4,103.806,audio_features,0Ga3szKsJOeZ0eAfydm1WV,spotify:track:0Ga3szKsJOeZ0eAfydm1WV,https://api.spotify.com/v1/tracks/0Ga3szKsJOeZ0eAfydm1WV,https://api.spotify.com/v1/audio-analysis/0Ga3szKsJOeZ0eAfydm1WV,354613,4
0.36,0.921,7,-5.175,1,0.106,7.38e-05,0.00709,0.248,0.338,184.112,audio_features,0V3gbmaCYfQTbhhrL4IBfF,spotify:track:0V3gbmaCYfQTbhhrL4IBfF,https://api.spotify.com/v1/tracks/0V3gbmaCYfQTbhhrL4IBfF,https://api.spotify.com/v1/audio-analysis/0V3gbmaCYfQTbhhrL4IBfF,179360,4
0.244,0.878,9,-1.768,0,0.0661,0.0135,0.0699,0.482,0.264,121.464,audio_features,6R0hKavxfAAInTvXkTBbZw,spotify:track:6R0hKavxfAAInTvXkTBbZw,https://api.spotify.com/v1/tracks/6R0hKavxfAAInTvXkTBbZw,https://api.spotify.com/v1/audio-analysis/6R0hKavxfAAInTvXkTBbZw,178547,4
0.248,0.22,7,-10.768,0,0.0299,0.94,0.00197,0.109,0.191,71.377,audio_features,1hVEHu6SemMvlYAP5MWkDj,spotify:track:1hVEHu6SemMvlYAP5MWkDj,https://api.spotify.com/v1/tracks/1hVEHu6SemMvlYAP5MWkDj,https://api.spotify.com/v1/audio-analysis/1hVEHu6SemMvlYAP5MWkDj,242040,4
0.54,0.309,10,-10.126,0,0.036,0.893,9.03e-06,0.198,0.601,99.249,audio_features,6k5HDh9tMxwlghopCoY6ib,spotify:track:6k5HDh9tMxwlghopCoY6ib,https://api.spotify.com/v1/tracks/6k5HDh9tMxwlghopCoY6ib,https://api.spotify.com/v1/audio-analysis/6k5HDh9tMxwlghopCoY6ib,173733,4
0.559,0.345,4,-13.496,1,0.0459,0.0576,0.000105,0.141,0.458,84.581,audio_features,3d9DChrdc6BOeFsbrZ3Is0,spotify:track:3d9DChrdc6BOeFsbrZ3Is0,https://api.spotify.com/v1/tracks/3d9DChrdc6BOeFsbrZ3Is0,https://api.spotify.com/v1/audio-analysis/3d9DChrdc6BOeFsbrZ3Is0,264307,4
0.446,0.523,11,-11.716,1,0.027,0.00254,6.12e-06,0.349,0.655,146.482,audio_features,0m5RdyFFcOKhut3sGkeWHG,spotify:track:0m5RdyFFcOKhut3sGkeWHG,https://api.spotify.com/v1/tracks/0m5RdyFFcOKhut3sGkeWHG,https://api.spotify.com/v1/audio-analysis/0m5RdyFFcOKhut3sGkeWHG,283933,4
0.561,0.278,8,-12.02,1,0.0304,0.912,0.0363,0.108,0.192,79.655,audio_features,0VmzazQQ0Mo1vJldr5NxTW,spotify:track:0VmzazQQ0Mo1vJldr5NxTW,https://api.spotify.com/v1/tracks/0VmzazQQ0Mo1vJldr5NxTW,https://api.spotify.com/v1/audio-analysis/0VmzazQQ0Mo1vJldr5NxTW,190171,4
0.89,0.595,7,-6.056,0,0.0365,0.544,6.35e-05,0.128,0.949,133.033,audio_features,51dgv4yvvYWzOwgXx30YCg,spotify:track:51dgv4yvvYWzOwgXx30YCg,https://api.spotify.com/v1/tracks/51dgv4yvvYWzOwgXx30YCg,https://api.spotify.com/v1/audio-analysis/51dgv4yvvYWzOwgXx30YCg,257547,4
0.517,0.87,9,-4.483,0,0.1,0.29,0.0,0.102,0.848,94.187,audio_features,6Mo9TgSE7iKBNSoIdLaP40,spotify:track:6Mo9TgSE7iKBNSoIdLaP40,https://api.spotify.com/v1/tracks/6Mo9TgSE7iKBNSoIdLaP40,https://api.spotify.com/v1/audio-analysis/6Mo9TgSE7iKBNSoIdLaP40,309040,4
0.45,0.905,0,-4.729,0,0.0416,0.00856,0.000125,0.184,0.729,84.824,audio_features,4MAUMaSlki3wcgTKmOjV1h,spotify:track:4MAUMaSlki3wcgTKmOjV1h,https://api.spotify.com/v1/tracks/4MAUMaSlki3wcgTKmOjV1h,https://api.spotify.com/v1/audio-analysis/4MAUMaSlki3wcgTKmOjV1h,152227,4
0.472,0.9,8,-6.406,0,0.0582,0.148,0.000297,0.34,0.42,95.826,audio_features,3KhF2YiNpJvGpfiCW45R6D,spotify:track:3KhF2YiNpJvGpfiCW45R6D,https://api.spotify.com/v1/tracks/3KhF2YiNpJvGpfiCW45R6D,https://api.spotify.com/v1/audio-analysis/3KhF2YiNpJvGpfiCW45R6D,214960,4
0.654,0.953,2,-7.955,0,0.0472,0.0574,1.25e-05,0.0981,0.794,122.15,audio_features,3HI1yqFW7yhSkNXhtBTwly,spotify:track:3HI1yqFW7yhSkNXhtBTwly,https://api.spotify.com/v1/tracks/3HI1yqFW7yhSkNXhtBTwly,https://api.spotify.com/v1/audio-analysis/3HI1yqFW7yhSkNXhtBTwly,264867,4
0.682,0.444,7,-7.689,1,0.0289,0.257,0.0,0.115,0.91,130.704,audio_features,3pU1CUgPiFfxPCpscwIwQR,spotify:track:3pU1CUgPiFfxPCpscwIwQR,https://api.spotify.com/v1/tracks/3pU1CUgPiFfxPCpscwIwQR,https://api.spotify.com/v1/audio-analysis/3pU1CUgPiFfxPCpscwIwQR,163080,4
0.611,0.853,2,-4.983,1,0.034,0.0219,0.0,0.671,0.376,135.558,audio_features,5ZY7Gug850kv4heJcWZGHM,spotify:track:5ZY7Gug850kv4heJcWZGHM,https://api.spotify.com/v1/tracks/5ZY7Gug850kv4heJcWZGHM,https://api.spotify.com/v1/audio-analysis/5ZY7Gug850kv4heJcWZGHM,243280,4
