danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.626,0.52,9,-8.077,0,0.0892,0.175,0.0,0.13,0.257,77.468,audio_features,6IUiqtI8tE49sqGbmtrNd8,spotify:track:6IUiqtI8tE49sqGbmtrNd8,https://api.spotify.com/v1/tracks/6IUiqtI8tE49sqGbmtrNd8,https://api.spotify.com/v1/audio-analysis/6IUiqtI8tE49sqGbmtrNd8,281293,4
0.714,0.824,10,-5.077,0,0.271,0.435,0.0,0.11,0.753,174.101,audio_features,3oBTK8oXmPrDvkAoNQJpna,spotify:track:3oBTK8oXmPrDvkAoNQJpna,https://api.spotify.com/v1/tracks/3oBTK8oXmPrDvkAoNQJpna,https://api.spotify.com/v1/audio-analysis/3oBTK8oXmPrDvkAoNQJpna,167467,4
0.638,0.686,0,-9.876,1,0.0366,0.314,0.23,0.0678,0.766,126.045,audio_features,6n5lHdpuBDdA7pYDpiKzEI,spotify:track:6n5lHdpuBDdA7pYDpiKzEI,https://api.spotify.com/v1/tracks/6n5lHdpuBDdA7pYDpiKzEI,https://api.spotify.com/v1/audio-analysis/6n5lHdpuBDdA7pYDpiKzEI,256360,4
0.528,0.583,7,-8.267,1,0.153,0.0151,1.44e-06,0.0879,0.727,77.303,audio_features,6fnj0w9yv1sii23czU1XL1,spotify:track:6fnj0w9yv1sii23czU1XL1,https://api.spotify.com/v1/tracks/6fnj0w9yv1sii23czU1XL1,https://api.spotify.com/v1/audio-analysis/6fnj0w9yv1sii23czU1XL1,287853,4
0.45,0.783,7,-8.501,1,0.0367,0.074,0.05,0.57,0.81,155.498,audio_features,1CKXcZvvohEUyKb1uHIKwW,spotify:track:1CKXcZvvohEUyKb1uHIKwW,https://api.spotify.com/v1/tracks/1CKXcZvvohEUyKb1uHIKwW,https://api.spotify.com/v1/audio-analysis/1CKXcZvvohEUyKb1uHIKwW,162480,4
0.436,0.76,1,-7.906,0,0.0374,0.362,0.955,0.13,0.504,75.012,audio_features,4m8ttWM8IKXyhpv89E867J,spotify:track:4m8ttWM8IKXyhpv89E867J,https://api.spotify.com/v1/tracks/4m8ttWM8IKXyhpv89E867J,https://api.spotify.com/v1/audio-analysis/4m8ttWM8IKXyhpv89E867J,219760,4
0.41,0.814,9,-9.053,1,0.0373,0.104,0.00613,0.0959,0.766,176.35,audio_features,7lAVmqRbm79nGN4auDjJ9b,spotify:track:7lAVmqRbm79nGN4auDjJ9b,https://api.spotify.com/v1/tracks/7lAVmqRbm79nGN4auDjJ9b,https://api.spotify.com/v1/audio-analysis/7lAVmqRbm79nGN4auDjJ9b,119960,4
0.342,0.2,4,-13.569,1,0.0324,0.134,0.000153,0.341,0.0743,133.113,audio_features,5yyRH93h4Pm6tXXYTxt7ea,spotify:track:5yyRH93h4Pm6tXXYTxt7ea,https://api.spotify.com/v1/tracks/5yyRH93h4Pm6tXXYTxt7ea,https://api.spotify.com/v1/audio-analysis/5yyRH93h4Pm6tXXYTxt7ea,286653,4
0.288,0.622,2,-7.728,1,0.0747,0.497,0.0,0.312,0.345,201.469,audio_features,15006aXd803lbtvhXYdGBk,spotify:track:15006aXd803lbtvhXYdGBk,https://api.spotify.com/v1/tracks/15006aXd803lbtvhXYdGBk,https://api.spotify.com/v1/audio-analysis/15006aXd803lbtvhXYdGBk,181800,4
0.735,0.54,5,-7.9,1,0.0314,0.146,0.465,0.151,0.549,112.011,audio_features,7HixpJzY6Aax1ZInJBWk7F,spotify:track:7HixpJzY6Aax1ZInJBWk7F,https://api.spotify.com/v1/tracks/7HixpJzY6Aax1ZInJBWk7F,https://api.spotify.com/v1/audio-analysis/7HixpJzY6Aax1ZInJBWk7F,326333,4
0.574,0.27,3,-9.107,0,0.291,0.745,5.1e-06,0.114,0.251,103.248,audio_features,1OBCGt4I26g6IXIrH3T5EW,spotify:track:1OBCGt4I26g6IXIrH3T5EW,https://api.spotify.com/v1/tracks/1OBCGt4I26g6IXIrH3T5EW,https://api.spotify.com/v1/audio-analysis/1OBCGt4I26g6IXIrH3T5EW,333000,4
0.663,0.934,1,-8.491,1,0.105,0.0189,0.0,0.783,0.314,107.089,audio_features,1zQuFi3yMPAbEXe8EDg13T,spotify:track:1zQuFi3yMPAbEXe8EDg13T,https://api.spotify.com/v1/tracks/1zQuFi3yMPAbEXe8EDg13T,https://api.spotify.com/v1/audio-analysis/1zQuFi3yMPAbEXe8EDg13T,371000,4
0.551,0.828,5,-9.371,0,0.0353,0.209,0.0363,0.0764,0.802,108.07,audio_features,1vq6x0VSLtVUHMbNKHh9sF,spotify:track:1vq6x0VSLtVUHMbNKHh9sF,https://api.spotify.com/v1/tracks/1vq6x0VSLtVUHMbNKHh9sF,https://api.spotify.com/v1/audio-analysis/1vq6x0VSLtVUHMbNKHh9sF,372133,4
0.293,0.727,1,-9.495,1,0.069,0.198,0.0576,0.133,0.232,116.895,audio_features,0EF4KrU0dJ0lBEkqMyzlIi,spotify:track:0EF4KrU0dJ0lBEkqMyzlIi,https://api.spotify.com/v1/tracks/0EF4KrU0dJ0lBEkqMyzlIi,https://api.spotify.com/v1/audio-analysis/0EF4KrU0dJ0lBEkqMyzlIi,347667,4
0.764,0.61,0,-12.159,1,0.0566,0.0433,0.0303,0.0548,0.975,98.466,audio_features,0BRETWVsgLUOyuw1GQdhiG,spotify:track:0BRETWVsgLUOyuw1GQdhiG,https://api.spotify.com/v1/tracks/0BRETWVsgLUOyuw1GQdhiG,https://api.spotify.com/v1/audio-analysis/0BRETWVsgLUOyuw1GQdhiG,250067,4
0.716,0.783,4,-12.876,0,0.0496,0.172,0.0346,0.0327,0.952,121.306,audio_features,5sJiLlgQKBL81QCTOkoLB5,spotify:track:5sJiLlgQKBL81QCTOkoLB5,https://api.spotify.com/v1/tracks/5sJiLlgQKBL81QCTOkoLB5,https://api.spotify.com/v1/audio-analysis/5sJiLlgQKBL81QCTOkoLB5,244773,4
0.629,0.848,2,-6.242,1,0.041,0.0162,0.0181,0.271,0.776,100.005,audio_features,4aDtCVcQCkR7zYa8jwLciP,spotify:track:4aDtCVcQCkR7zYa8jwLciP,https://api.spotify.com/v1/tracks/4aDtCVcQCkR7zYa8jwLciP,https://api.spotify.com/v1/audio-analysis/4aDtCVcQCkR7zYa8jwLciP,284933,4
